# key:
# co = coast
# de = desert
# fo = forest
# gr = grassland
# fw = freshwater
# sm = swamp, marsh
# mo = mountain
# oc = ocean
# ur = urban
#
# SW = Southwest 
# SE = Southeast
# NW = Northeast
# SW = Southwest
# NA = Not Available
#
# Name       Alpha code     Habitats     Regions
Rufous-crowned Sparrow  RCSP  fo gr  SW
Oaxaca Sparrow  OASP  no  NA
White-eared Ground-Sparrow  WEGS  no  NA
Prevost's Ground-Sparrow  PRGS  no  NA
Rusty-crowned Ground-Sparrow  RCGS  no  NA
Canyon Towhee  CANT  fo mo  SW
White-throated Towhee  WTTO  no  NA
California Towhee  CALT  fo ur  SW
Abert's Towhee  ABTO  de fo ur  SW
Cinnamon-tailed Sparrow  CTSP  no  NA
Rufous-winged Sparrow  RWSP  de gr  SW
Stripe-headed Sparrow  SHSP  no  NA
Black-chested Sparrow  BCHS  no  NA
Bridled Sparrow  BRIS  no  NA
Botteri's Sparrow  BOSP  gr  SW
Cassin's Sparrow  CASP  de gr  SW
Bachman's Sparrow  BACS  fo gr  SE
Striped Sparrow  SSPA  no  NA
Zapata Sparrow  ZASP  no  NA
American Tree Sparrow  ATSP  fo sm  NW NE
Chipping Sparrow  CHSP  fo gr ur  NW NE SW SE
Clay-colored Sparrow  CCSP  gr  NW NE SW SE
Brewer's Sparrow  BRSP  gr mo  NW SW
Field Sparrow  FISP  gr  NE SE
Worthen's Sparrow  WOSP  no  NA
Black-chinned Sparrow  BCSP  co fo mo  SW
Vesper Sparrow  VESP  gr ur  NW NE SW SE
Lark Sparrow  LASP  gr  NW SW
Five-striped Sparrow  FSSP  gr mo  NA
Black-throated Sparrow  BTSP  de  SW
Sagebrush Sparrow  SABS  de gr  NW SW
Bell's Sparrow  BESP  de gr  SW
Lark Bunting  LARB  gr  NW SW
Savannah Sparrow  SAVS  gr sm  NW NE SW SE
Grasshopper Sparrow  GRSP  gr  NW NE SW SE
Baird's Sparrow  BAIS  gr  NW SW
Henslow's Sparrow  HESP  gr  NE SE
Le Conte's Sparrow  LCSP  gr  NE SE
Nelson's Sparrow  NESP  sm  NE SE
Saltmarsh Sparrow  SALS  co sm  NE SE
Seaside Sparrow  SESP  co sm  NE SE
Sierra Madre Sparrow  SMSP  no  NA
Fox Sparrow  FOSP  fo  NW NE SW SE
Song Sparrow  SOSP  fo gr sm ur  NW NE SW SE
Lincoln's Sparrow  LISP  fo gr  NW NE SW SE
Swamp Sparrow  SWSP  fo gr sm  NW NE SW SE
Rufous-collared Sparrow  RCOS  no  NA
White-throated Sparrow  WTSP  fo ur  NW NE SW SE
Harris's Sparrow  HASP  fo gr  NW NE SW
White-crowned Sparrow  WCSP  fo gr ur  NW NE SW SE
Golden-crowned Sparrow  GCSP  co fo gr mo  NW SW
Volcano Junco  VOJU  no  NA
Dark-eyed Junco  DEJU  fo gr ur  NW NE SW SE
Guadalupe Junco  GUJU  no  NA
Yellow-eyed Junco  YEJU  fo mo  SW
Common Chlorospingus  COCL  no  NA
Tacarcuna Chlorospingus  TACH  no  NA
Pirre Chlorospingus  PICH  no  NA
Sooty-capped Chlorospingus  SCCH  no  NA
Yellow-throated Chlorospingus  YTCH  no  NA
Ashy-throated Chlorospingus  ATCH  no  NA
Pine Bunting  PIBU  no  NA
Yellow-browed Bunting  YBWB  no  NA
Little Bunting  LIBU  fo gr mo  NA
Rustic Bunting  RUBU  fo  NA
Yellow-throated Bunting  YTBU  no  NA
Yellow-breasted Bunting  YBSB  fo gr  NA
Gray Bunting  GRBU  fo gr  NA
Pallas's Bunting  PALB  gr fw sm  NA
Reed Bunting  REBU  co fo gr mo  NA
Rose-throated Tanager  RTTA  no  NA
Hepatic Tanager  HETA  fo  SW
Summer Tanager  SUTA  fo ur  NE SW SE
Scarlet Tanager  SCTA  fo ur  NE SE
Western Tanager  WETA  fo  NW SW
Flame-colored Tanager  FCTA  fo mo  NA
White-winged Tanager  WWTA  no  NA
Red-headed Tanager  RHTA  no  NA
Red-crowned Ant-Tanager  RCAT  no  NA
Red-throated Ant-Tanager  RTAT  no  NA
Black-cheeked Ant-Tanager  BCAT  no  NA
Carmiol's Tanager  CATA  no  NA
Lemon-spectacled Tanager  LSTA  no  NA
Black-faced Grosbeak  BFAG  no  NA
Yellow-green Grosbeak  YGGR  no  NA
Crimson-collared Grosbeak  CCGR  fo gr  NA
Northern Cardinal  NOCA  gr ur  NE SW SE
Pyrrhuloxia  PYRR  de  SW
Yellow Grosbeak  YEGR  fo gr  NA
Black-thighed Grosbeak  BTGG  no  NA
Rose-breasted Grosbeak  RBGR  fo gr  NW NE SW SE
Black-headed Grosbeak  BHGR  fo fw  NW SW
Red-breasted Chat  RBRC  no  NA
Gray-throated Chat  GTCH  no  NA
Blue Seedeater  BLSE  no  NA
Blue-black Grosbeak  BGRO  no  NA
Blue Bunting  BLBU  de fo mo  NA
Blue Grosbeak  BLGR  fo gr  NE SW SE
Lazuli Bunting  LAZB  fo mo  NW SW
Indigo Bunting  INBU  fo gr  NE SE
Rose-bellied Bunting  RBBU  no  NA
Orange-breasted Bunting  OBBU  no  NA
Varied Bunting  VABU  de fo mo  SW
Painted Bunting  PABU  fo  SW SE
Dickcissel  DICK  gr  NE SE
Bobolink  BOBO  gr sm  NW NE SE
Red-winged Blackbird  RWBL  gr sm ur  NW NE SW SE
Red-shouldered Blackbird  RSBL  no  NA
Tricolored Blackbird  TRBL  co gr  NW SW
Tawny-shouldered Blackbird  TSBL  no  NA
Yellow-shouldered Blackbird  YSBL  no  NA
Jamaican Blackbird  JABL  no  NA
Yellow-hooded Blackbird  YHOB  no  NA
Red-breasted Blackbird  RBBL  no  NA
Eastern Meadowlark  EAME  gr ur  NE SE
Western Meadowlark  WEME  gr  NE SW SE
Yellow-headed Blackbird  YHBL  gr sm ur  NW SW
Melodious Blackbird  MEBL  no  NA
Cuban Blackbird  CUBL  no  NA
Rusty Blackbird  RUBL  co gr ur  NE SE
Brewer's Blackbird  BRBL  gr ur  NW NE SW SE
Common Grackle  COGR  co gr ur  NW NE SW SE
Boat-tailed Grackle  BTGR  gr fw sm  SE
Great-tailed Grackle  GTGR  gr sm ur  NW SW
Slender-billed Grackle  SBGR  no  NA
Nicaraguan Grackle  NIGR  no  NA
Greater Antillean Grackle  GAGR  no  NA
Carib Grackle  CAGR  no  NA
Shiny Cowbird  SHCO  gr fw ur  SE
Bronzed Cowbird  BROC  gr mo ur  SW SE
Brown-headed Cowbird  BHCO  fo gr ur  NW NE SW SE
Giant Cowbird  GICO  no  NA
Bahama Oriole  BAHO  no  NA
Cuban Oriole  CUOR  no  NA
Hispaniolan Oriole  HIOR  no  NA
Puerto Rican Oriole  PROR  no  NA
St. Lucia Oriole  SLOR  no  NA
Montserrat Oriole  MORI  no  NA
Martinique Oriole  MAOR  no  NA
Black-vented Oriole  BVOR  fo  NA
Bar-winged Oriole  BWOR  no  NA
Black-cowled Oriole  BCOR  no  NA
Orchard Oriole  OROR  fo gr ur  NE SE
Hooded Oriole  HOOR  fo ur  SW
Yellow-backed Oriole  YBOR  no  NA
Orange-crowned Oriole  OCOR  no  NA
Yellow-tailed Oriole  YTOR  no  NA
Venezuelan Troupial  VETR  no  NA
Streak-backed Oriole  SBAO  fo gr ur  NA
Bullock's Oriole  BUOR  fo ur  NW SW
Orange Oriole  ORAO  no  NA
Jamaican Oriole  JAOR  no  NA
Spot-breasted Oriole  SBOR  ur  NA
Altamira Oriole  ALOR  fo  SW
Audubon's Oriole  AUOR  fo  SW
Baltimore Oriole  BAOR  fo ur  NE SE
Black-backed Oriole  BBOR  no  NA
Scott's Oriole  SCOR  de gr mo  SW
Yellow-billed Cacique  YBIC  no  NA
Yellow-winged Cacique  YWCA  no  NA
Scarlet-rumped Cacique  SRCA  no  NA
Yellow-rumped Cacique  YRCA  no  NA
Crested Oropendola  CROR  no  NA
Chestnut-headed Oropendola  CHOR  no  NA
Montezuma Oropendola  MORO  no  NA
Black Oropendola  BLOR  no  NA
Common Chaffinch  CCHA  fo  NA
Brambling  BRAM  fo ur  NA
Jamaican Euphonia  JAEU  no  NA
Scrub Euphonia  SEUP  no  NA
Yellow-crowned Euphonia  YCEU  no  NA
Thick-billed Euphonia  TBEU  no  NA
Yellow-throated Euphonia  YTEU  no  NA
Antillean Euphonia  ANEU  no  NA
Elegant Euphonia  ELEU  no  NA
Fulvous-vented Euphonia  FVEU  no  NA
Spot-crowned Euphonia  SPCE  no  NA
Olive-backed Euphonia  OBAE  no  NA
White-vented Euphonia  WVEU  no  NA
Tawny-capped Euphonia  TCEU  no  NA
Orange-bellied Euphonia  OBEE  no  NA
Yellow-collared Chlorophonia  YCCH  no  NA
Blue-crowned Chlorophonia  BCRC  no  NA
Golden-browed Chlorophonia  GBCH  no  NA
Asian Rosy-Finch  ASRF  no  NA
Gray-crowned Rosy-Finch  GCRF  gr mo  NW SW
Black Rosy-Finch  BLRF  gr mo  NW SW
Brown-capped Rosy-Finch  BCRF  fo gr mo  SW
Pine Grosbeak  PIGR  fo  NW NE SW
Eurasian Bullfinch  EUBU  fo gr ur  NA
Poo-uli  POUL  no  NA
Akikiki  AKIK  fo  NA
Oahu Alauahio  OAAL  no  NA
Kakawahie  KAKA  no  NA
Maui Alauahio  MAAL  fo  NA
Palila  PALI  fo  NA
Laysan Finch  LAFI  co  NA
Nihoa Finch  NIFI  no  NA
Kona Grosbeak  KOGR  no  NA
Lesser Koa-Finch  LEKF  no  NA
Greater Koa-Finch  GRKF  no  NA
Ula-ai-hawane  UAIH  no  NA
Akohekohe  AKOH  fo  NA
Laysan Honeycreeper  LAYH  no  NA
Apapane  APAP  fo  NA
Iiwi  IIWI  fo  NA
Hawaii Mamo  HAMA  no  NA
Black Mamo  BLMA  no  NA
Ou  OU  no  NA
Lanai Hookbill  LANH  no  NA
Maui Parrotbill  MAPA  fo  NA
Kauai Nukupuu  KANU  no  NA
Oahu Nukupuu  OANU  no  NA
Maui Nukupuu  MANU  no  NA
Akiapolaau  AKIA  fo  NA
Lesser Akialoa  LEAK  no  NA
Kauai Akialoa  KAAK  no  NA
Oahu Akialoa  OAKI  no  NA
Maui-nui Akialoa  MNAK  no  NA
Anianiau  ANIA  fo  NA
Hawaii Amakihi  HAAM  fo  NA
Oahu Amakihi  OAAM  fo  NA
Kauai Amakihi  KAAM  fo  NA
Greater Amakihi  GRAM  no  NA
Hawaii Creeper  HCRE  fo  NA
Akekee  AKEK  fo  NA
Oahu Akepa  OAKE  no  NA
Maui Akepa  MAAK  no  NA
Hawaii Akepa  AKEP  no  NA
Common Rosefinch  CORO  fo gr mo ur  NA
House Finch  HOFI  co de ur  NW NE SW SE
Purple Finch  PUFI  fo ur  NW NE SW SE
Cassin's Finch  CAFI  fo  NW SW
Red Crossbill  RECR  fo  NW NE SW
Hispaniolan Crossbill  HICR  no  NA
White-winged Crossbill  WWCR  fo  NW NE
Common Redpoll  CORE  fo gr  NW NE
Hoary Redpoll  HORE  fo gr  NW NE
Eurasian Siskin  EUSI  no  NA
Pine Siskin  PISI  fo  NW NE SW SE
Black-capped Siskin  BCSI  no  NA
Black-headed Siskin  BHSI  no  NA
Yellow-bellied Siskin  YBSI  no  NA
Red Siskin  RESI  no  NA
Antillean Siskin  ANSI  no  NA
Lesser Goldfinch  LEGO  fo gr ur  NW SW
Lawrence's Goldfinch  LAGO  fo gr  SW
American Goldfinch  AMGO  gr  NW NE SW SE
European Goldfinch  EUGO  no  NA
Oriental Greenfinch  ORGR  fo gr ur  NA
Yellow-fronted Canary  YFCA  fo gr  NA
Island Canary  ISCA  no  NA
Hooded Grosbeak  HOOG  no  NA
Evening Grosbeak  EVGR  fo ur  NW NE SW
Hawfinch  HAWF  fo  NA
House Sparrow  HOSP  gr ur  NW NE SW SE
Eurasian Tree Sparrow  ETSP  fo gr ur  NE
Village Weaver  VIWE  no  NA
Orange Bishop  ORBI  gr  NA
Yellow-crowned Bishop  YCBI  no  NA
Red-cheeked Cordonbleu  RCCO  gr  NA
Lavender Waxbill  LAVW  gr ur  NA
Orange-cheeked Waxbill  OCHW  gr  NA
Black-rumped Waxbill  BRUW  gr  NA
Common Waxbill  COMW  gr  NA
Red Avadavat  REAV  gr sm  NA
Bronze Mannikin  BRMA  no  NA
Indian Silverbill  INSI  no  NA
African Silverbill  AFSI  gr  NA
Java Sparrow  JASP  gr ur  NA
Scaly-breasted Munia  SBMU  gr  SW SE
Tricolored Munia  TRMU  no  NA
Chestnut Munia  CHMU  gr  NA
Pin-tailed Whydah  PTWH  no  NA
Unidentified Bird  UNBI  no  NA
